Tabla:,,CONCENTRADOHOGAR,,,,
,,,,,,
Insumos:,,,,,,
"VIVIENDAS
HOGARES
POBLACION
INGRESOS",,,,,"GASTOSHOGAR
GASTOSPERSONA
EROGACIONES
",
,,,,,,
Construcción general:,,,,,,
"Esta tabla es un resumen a nivel hogar con las principales variables de interés de la encuesta.

Se construyen las variables (para explotación) de acuerdo a la lista de variables.",,,,,,
,,,,,,
Lista de variables:,,,,,,
#,Variable,Tipo,Categorías / valores nulos,,Construcción / Observaciones,
97,refaccion,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro refaccion,
98,combus,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro combus,
99,comunica,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro comunica,
100,educa_espa,"N (12,2)",NOT NULL,,educacion + esparci + paq_turist,
101,educacion,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro educacion,
102,esparci,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro esparci,
103,paq_turist,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro paq_turist,
104,personales,"N (12,2)",NOT NULL,,cuida_pers + acces_pers + otros_gas,
105,cuida_pers,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro cuida_pers,
106,acces_pers,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro acces_pers,
107,otros_gas,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro otros_gas,
108,transf_gas,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro transf_gas,
109,percep_tot,"N (12,2)",NOT NULL,,retiro_inv + prestamos + otras_perc + ero_nm_viv + ero_nm_hog,
110,retiro_inv,"N (12,2)",NOT NULL,,Σ de ingresos.ing_tri cuando clave está en P051,
111,prestamos,"N (12,2)",NOT NULL,,Σ de ingresos.ing_tri cuando clave está en P053,
112,otras_perc,"N (12,2)",NOT NULL,,"Σ de ingresos.ing_tri cuando clave está en P052, P054,..., P066",
113,ero_nm_viv,"N (12,2)",NOT NULL,,"Σ gas_nm_tri de la tabla gastoshogar cuando tipo_gasto está en G5, G6 para las claves del rubro ero_nm más la Σ de gas_nm_tri de la tabla gastospersona cuando tipo_gasto está en G4 para las claves del rubro ero_nm",
114,ero_nm_hog,"N (12,2)",NOT NULL,,Σ gas_nm_tri de la tabla gastoshogar cuando tipo_gasto está en G5 y la frecuencia es igual a 5 y las claves son diferentes a las del rubro ero_nm,
115,erogac_tot,"N (12,2)",NOT NULL,,cuota_viv + mater_serv + deposito + prest_terc + pago_tarje + deudas + balance + otras_erog,
116,cuota_viv,"N (12,2)",NOT NULL,,Σ ero_tri de la tabla erogaciones para las claves del rubro cuota_viv,
117,mater_serv,"N (12,2)",NOT NULL,,material + servicio,
118,material,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro material,
119,servicio,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro servicio,
120,deposito,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro deposito más ero_tri de la table erogaciones para las claves del rubro deposito,
121,prest_terc,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro prest_terc más ero_tri de la table erogaciones para las claves del rubro prest_terc,
122,pago_tarje,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro pago_tarje más ero_tri de la table erogaciones para las claves del rubro pago_tarje,
123,deudas,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro deudas más ero_tri de la table erogaciones para las claves del rubro deudas,
124,balance,"N (12,2)",NOT NULL,,Σ ero_tri de la tabla erogaciones para las claves del rubro balance,
125,otras_erog,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro otras_erog más ero_tri de la table erogaciones para las claves del rubro otras_erog,
126,smg,"N (8,2)",NOT NULL,,Construcción smg,
,,,,,,
,,,,,,
Construcción clase_hog,,,,,,
Se clasifican los integrantes del hogar de acuerdo con sus claves de parentesco de la tabla de Poblacion:,,,,,,
Jefe,,Contar a las personas del hogar con parentesco igual a 101,,,,
Esposa,,Contar a las personas del hogar con parentesco de 201 a 205,,,,
Hijos,,Contar a las personas del hogar con parentesco de 301 a 304,,,,
Parientes,,Contar a las personas del hogar con parentesco de 601 a 623,,,,
NoParientes,,Contar a las personas del hogar con parentesco de 501 a 503,,,,
Unipersonal,,clase_hog = 1 (Si Jefe = 1 y Esposa = 0 y Hijos = 0 y Parientes = 0 y NoParientes = 0),,,,
Nuclear,,clase_hog = 2 (Si Jefe = 1 y (Esposa > 0 o Hijos > 0) y Parientes = 0 y NoParientes = 0),,,,
Ampliado,,clase_hog = 3 (Si Jefe = 1 y (Esposa > 0 o Hijos > 0 o Parientes > 0) y NoParientes = 0),,,,
Compuesto,,clase_hog = 4 (Si Jefe = 1 y (Esposa > 0 o Hijos > 0 o Parientes > 0) y NoParientes > 0),,,,
Corresidente,,clase_hog = 5 (Si Jefe = 1 y Esposa = 0 y Hijos = 0 y Parientes = 0 y NoParientes > 0),,,,
,,,,,,
,,,,,,
Construcción educa_jefe,,,,,,
"Se obtienen las variables nivelaprob, gradoaprob y antec_esc de la tabla Poblacion donde parentesco=101",,,,,,
Sin instrucción,,educa_jefe = 01 (Si nivelaprob = 00),,,,
Preescolar,,educa_jefe = 02 (Si nivelaprob = 01),,,,
Primaria incompleta,,educa_jefe = 03 (Si nivelaprob = 02 y gradoaprob < 6),,,,
Primaria completa,,educa_jefe = 04 (Si nivelaprob = 02 y gradoaprob = 6) ó ((nivelaprob = 05 ó nivelaprob = 06) y antec_esc = 1),,,,
Secundaria incompleta,,educa_jefe = 05 (Si nivelaprob = 03 y gradoaprob < 3),,,,
Secundaria completa,,educa_jefe = 06 (Si nivelaprob = 03 y gradoaprob = 3) ó ((nivelaprob = 05 ó nivelaprob = 06) y antec_esc = 2),,,,
Preparatoria incompleta,,educa_jefe = 07 (Si nivelaprob = 04 y gradoaprob < 3),,,,
Preparatoria completa,,educa_jefe = 08 (Si nivelaprob = 04 y gradoaprob = 3) ó ((nivelaprob = 05 ó nivelaprob = 06) y antec_esc = 3),,,,
Profesional incompleta,,educa_jefe = 09 (Si nivelaprob = 07 y gradoaprob < 4),,,,
Profesional completa,,educa_jefe = 10 (Si nivelaprob = 07 y gradoaprob >= 4) ó ((nivelaprob = 05 ó nivelaprob = 06) y antec_esc = 4),,,,
Posgrado,,educa_jefe = 11 (Si nivelaprob = 08 ó nivelaprob = 09 ó nivelaprob = 10) ó ((nivelaprob = 05 ó nivelaprob = 06) y antec_esc = 5),,,,
,,,,,,
,,,,,,
Construcción smg,,,,,,
"Para todos los registros smg = 22,403.7

*SALARIO MÍNIMO GENERAL 2024.
*Fuente:Comisión Nacional de los Salarios Mínimos
https://www.gob.mx/conasami/es/articulos/se-publican-en-el-diario-oficial-de-la-federacion-los-salarios-minimos-vigentes-a-partir-del-1-de-enero-de-2024

*Validez:2024, a partir del 1 de enero
*Área geográfica ÚNICA diario:$248.93, trimestral:$22,403.70",,,,,,
,,,,,,
,,,,,,
Claves de gasto y erogaciones por rubro,,,,,,
RUBROS,,CLAVES,,,,
cereales,,"011111, 011112, 011113, 011121, 011122, 011131, 011132, 011133, 011134, 011135, 011136, 011137, 011138, 011139, 01113A, 011140, 011150, 011191, 011192, 011193, 011194, 011195, 011196, 011912, 011995, 181113, 181156, 181171",,,,
carnes,,"011210, 011221, 011222, 011223, 011224, 011225, 011226, 011227, 011228, 011229, 01122A, 01122B, 01122C, 01122D, 01122F, 01122G, 01122H, 011231, 011232, 011233, 011234, 011235, 011241, 011242, 011243, 011244, 011245, 011246, 011247, 011251, 011252, 011253, 011254, 011255, 011256, 011592, 181114, 181115, 181116, 181117, 181118, 181119, 181120, 181121, 181122, 181123, 181124, 181125, 181126, 181153, 181158",,,,
