folioviv,tot_resid,mat_pared,mat_techos,ab_agua,agua_noe,dotac_agua,sanit_agua,drenaje
100048706,3,8,10,1,,1,1,1
100049901,4,8,10,1,,2,1,1
100049902,2,8,10,1,,1,1,1
100049903,2,8,10,1,,1,1,1
100049904,2,8,10,1,,1,1,1
100049905,3,8,10,1,,1,1,1
100049906,2,8,10,1,,1,1,1
100050202,2,8,10,1,,1,1,1
100050203,1,8,10,1,,2,1,1
100050204,4,8,10,1,,1,1,1
100050205,3,8,10,1,,1,2,1
100050206,4,8,10,1,,1,1,1
100051401,4,8,10,1,,1,1,1
100051402,3,8,10,1,,1,1,1
100051403,4,8,10,1,,1,1,1
100051404,2,8,10,1,,1,1,1
100051405,1,8,10,1,,1,1,1
100051406,2,8,10,1,,1,1,1
100052601,2,8,10,1,,1,1,1
100052602,1,8,10,1,,1,1,1
100052603,5,8,10,1,,1,1,1
100052605,6,8,10,1,,4,1,1
100052606,2,8,10,1,,1,1,1
100053601,1,8,10,1,,1,1,1
100053602,3,8,10,1,,1,1,1
100053603,5,8,10,1,,1,1,1
100053604,1,8,10,1,,1,1,1
100053605,3,8,10,1,,1,1,1
100053606,3,8,10,1,,1,1,1
100054801,4,8,10,1,,1,1,1
100054802,3,8,10,1,,1,1,1
100054803,5,8,10,1,,2,1,1
100054804,1,8,10,1,,1,1,1
100054805,1,8,10,1,,2,1,1
100054806,2,8,10,1,,1,1,1
100055001,4,8,10,1,,2,1,1
100055002,3,8,10,1,,1,1,1
100055003,2,8,10,1,,1,1,1
100055004,1,8,10,1,,1,1,1
100055006,5,8,10,1,,2,1,1
100056701,2,8,10,1,,1,1,1
100056702,4,8,10,1,,3,1,1
100056703,2,8,10,1,,1,1,1
100056704,3,8,10,1,,1,1,1
100056705,5,8,10,1,,1,1,1
100056706,6,8,10,1,,1,1,1
100057801,3,8,10,1,,1,1,1
100057802,2,8,10,1,,1,1,1
100057803,4,8,10,1,,1,1,1
100057804,3,8,10,1,,1,1,1
100057805,2,8,10,1,,1,1,1
100057806,4,8,10,1,,1,1,1
100058301,2,8,10,1,,1,1,1
100058302,4,8,10,1,,1,1,1
100058303,4,8,10,1,,1,1,1
100058304,4,8,10,1,,1,1,1
100058305,3,8,10,1,,1,1,1
100058306,4,8,10,1,,1,1,1
100059501,3,8,10,1,,2,1,1
100059502,3,8,10,1,,1,1,1
100059503,2,8,10,1,,2,1,1
100059504,3,8,10,1,,3,1,1
100059505,3,8,10,1,,3,1,1
100060902,4,8,10,1,,1,1,1
100060903,4,8,10,1,,1,1,1
100060904,4,8,10,1,,1,1,1
100060905,3,8,10,1,,1,1,1
100060906,5,8,10,1,,1,1,1
100061701,4,8,10,1,,1,1,1
100061702,5,8,10,1,,1,1,1
100061703,4,8,10,1,,1,1,1
100061704,2,8,10,1,,1,1,1
100061705,2,8,10,1,,1,1,1
100061706,3,8,10,1,,1,1,1
100062901,1,8,10,1,,1,1,1
100062902,3,8,10,1,,1,1,1
100062903,2,8,10,1,,1,1,1
100062904,3,8,10,1,,1,1,1
100062905,1,8,10,1,,1,1,1
100062906,3,8,10,1,,1,1,1
100063201,5,8,10,1,,1,1,1
100063202,6,8,10,1,,1,1,1
100063203,3,8,10,1,,1,1,1
100063204,3,8,10,1,,1,1,1
100063205,3,8,10,1,,1,1,1
100063206,2,8,10,1,,1,1,1
100064201,3,8,10,1,,1,1,1
100064202,4,8,10,1,,1,1,1
100064203,1,8,10,1,,1,1,1
100064204,3,8,10,1,,1,1,1
100064205,1,8,10,1,,2,1,1
100064206,4,8,10,1,,1,1,1
100065001,4,8,10,1,,1,1,1
100065002,1,8,10,1,,1,1,1
100065003,1,8,10,1,,1,1,1
100065004,2,8,10,1,,1,1,1
100065006,1,8,10,1,,1,1,1
100066301,4,8,10,1,,2,1,1
100066302,2,8,10,1,,1,1,1
100066303,4,8,10,1,,2,1,1
100066304,2,8,10,1,,3,1,1
100066305,5,8,10,1,,2,1,1
100066306,4,8,10,1,,3,1,1
100067501,6,8,10,1,,1,2,1
100067502,5,8,10,1,,1,1,1
100067503,11,8,10,1,,1,1,1
100067504,8,8,10,1,,1,1,1
100067505,2,8,10,1,,1,1,1
100067506,4,8,10,1,,1,1,1
100068701,6,8,10,1,,1,1,1
100068702,5,8,10,1,,1,1,1
100068703,5,8,10,1,,1,1,1
100068704,6,8,10,1,,2,1,1
100068705,5,8,10,1,,1,1,1
100068706,2,8,10,1,,2,1,1
100069401,4,8,10,1,,1,1,1
100069403,4,8,10,1,,1,1,1
100069404,4,8,10,1,,1,1,1
100069405,7,8,10,1,,1,1,1
100069406,2,8,10,1,,1,1,1
100070601,5,8,10,1,,2,1,1
100070602,2,8,10,1,,1,1,1
100070603,3,8,10,1,,2,1,1
100070604,2,8,10,1,,1,1,1
100070605,1,8,10,1,,1,1,1
100070606,3,8,10,1,,1,1,1
100071801,2,8,10,1,,1,1,1
100071802,1,8,10,1,,1,1,1
100071803,2,8,10,1,,1,1,1
100071804,2,8,10,1,,1,1,1
100071805,1,8,10,1,,1,1,1
100071806,3,8,10,1,,1,1,1
100072001,1,8,10,1,,1,1,1
100072002,2,8,10,1,,2,1,1
100072003,4,8,10,1,,1,1,1
100072004,4,8,10,1,,1,1,1
100072005,2,8,10,1,,1,1,1
100072006,4,8,10,1,,1,1,1
100073401,2,8,10,1,,1,2,1
100073402,3,8,10,1,,3,1,1
100073403,11,8,10,1,,2,1,1
100073404,5,8,10,1,,1,1,1
100073405,3,8,10,1,,1,1,1
100073406,2,8,10,1,,2,1,1
100074301,3,8,10,1,,1,1,1
100074302,4,8,10,1,,1,1,1
100074303,2,8,10,1,,1,1,1
100074304,3,8,10,1,,1,1,1
100074305,6,8,10,1,,1,1,1
100075601,4,8,10,1,,1,1,1
100075602,3,8,10,1,,1,1,1
100075603,5,8,10,1,,1,1,1
100075604,4,8,10,1,,1,1,1
100075605,2,8,10,1,,1,1,1
100075606,6,8,10,1,,1,1,1
100076801,6,8,10,1,,1,1,1
100076802,1,8,10,1,,1,1,1
100076803,3,8,10,1,,1,1,1
