folioviv,camb_clim,climate_vulnerability_intensity
100099006,0,0
100100201,0,0
100100202,0,0
100100204,0,0
100100205,0,0
100100206,0,0
100101401,0,0
100101402,0,0
100101403,0,0
100101404,0,0
100101405,0,0
100101406,0,0
100102601,0,0
100102602,0,0
100102603,0,0
100102604,0,0
100102605,0,0
100102606,0,0
100103801,0,0
100103802,0,0
100103803,0,0
100103804,0,0
100103805,0,0
100103806,0,0
100104001,0,0
100104002,0,0
100104003,0,0
100104004,0,0
100104005,0,0
100105302,0,0
100105303,0,0
100105304,1,8
100105305,1,8
100105306,0,0
100106501,0,0
100106502,0,0
100106503,0,0
100106504,0,0
100106505,0,0
100106506,0,0
100107701,0,0
100107702,0,0
100107703,0,0
100107704,0,0
100107705,0,0
100107706,0,0
100108902,1,8
100108903,1,8
100108904,0,0
100108905,0,0
100108906,1,8
100109019,0,0
100109020,0,0
100109021,0,0
100109022,0,0
100109023,1,8
100109024,0,0
100109301,0,0
100109302,0,0
100109303,1,8
100109304,1,8
100109305,1,8
100109306,1,8
100109507,0,0
100109508,0,0
100109509,0,0
100109510,0,0
100109511,1,8
100109512,0,0
100109713,0,0
100109714,0,0
100109715,0,0
100109716,0,0
100109717,0,0
100109718,1,8
100110901,0,0
100110903,0,0
100110906,0,0
100111201,0,0
100111203,0,0
100111204,0,0
100111205,0,0
100111206,0,0
100112401,0,0
100112402,0,0
100112403,0,0
100112404,0,0
100112405,0,0
100112406,0,0
100113201,0,0
100113202,0,0
100113203,0,0
100113204,0,0
100113206,0,0
100114401,0,0
100114402,0,0
100114403,1,8
100114404,0,0
100114406,0,0
100115001,0,0
100115004,0,0
100115005,0,0
100115006,0,0
100116301,0,0
100116302,0,0
100116303,0,0
100116304,0,0
100116305,0,0
100116306,0,0
100117301,0,0
100117302,0,0
100117303,0,0
100117304,0,0
100117305,0,0
100117306,0,0
100118502,0,0
100118503,0,0
100118505,0,0
100118506,0,0
100119702,0,0
100119703,0,0
100119705,0,0
100119706,0,0
100120601,0,0
100120602,0,0
100120603,0,0
100120605,0,0
100120606,0,0
100121802,1,8
100121803,0,0
100121804,0,0
100121805,0,0
100121806,1,8
100122902,0,0
100122903,0,0
100122904,0,0
100122906,0,0
100123201,0,0
100123202,1,8
100123203,0,0
100123204,0,0
100123205,0,0
100123206,0,0
100124002,0,0
100124003,0,0
100124004,0,0
100124005,0,0
100125301,0,0
100125302,0,0
100125303,0,0
100125304,0,0
100125305,0,0
100125306,0,0
100126401,0,0
100126402,0,0
100126403,0,0
100126404,0,0
100127601,0,0
100127602,0,0
100127603,0,0
100127604,0,0
100127605,0,0
100127606,0,0
100128801,0,0
100128802,0,0
100128804,0,0
100128805,0,0
100128806,0,0
100129001,0,0
100129002,0,0
100129003,0,0
100129004,0,0
100129005,0,0
