folioviv,foliohog,ing_cor,gasto_mon,ubica_geo,tam_loc
100019502,1,63654.79,37451.88,1001,1
100019503,1,51500.69,24686.96,1001,1
100019504,1,37030.31,74167.92,1001,1
100019505,1,72250.86,42788.24,1001,1
100019506,1,64614.09,47055.74,1001,1
100020701,1,52155.68,30871.51,1001,1
100020702,1,92670.43,32966.44,1001,1
100020703,1,71704.91,32839.09,1001,1
100020704,1,235055.18,98251.94,1001,1
100020705,1,68202.01,23899.87,1001,1
100020706,1,93386.37,65863.27,1001,1
100021901,1,54661.0,59137.13,1001,1
100021903,1,56219.33,29031.03,1001,1
100021904,1,108752.71,80399.93,1001,1
100021905,1,87280.41,59421.7,1001,1
100022201,1,69803.55,52630.49,1001,1
100022202,1,63989.13,16329.38,1001,1
100022203,1,103118.5,66917.51,1001,1
100022204,1,210525.13,165498.6,1001,1
100022206,1,90486.51,76585.84,1001,1
100023001,1,129124.85,48286.85,1001,1
100023002,1,41209.21,35850.43,1001,1
100023004,1,67992.27,57358.97,1001,1
100023005,1,42114.09,47280.85,1001,1
100023006,1,35484.48,23105.27,1001,1
100024301,1,67173.86,35660.87,1001,1
100024302,1,84791.02,125394.39,1001,1
100024303,1,79380.19,45049.21,1001,1
100024304,1,82295.0,80409.9,1001,1
100024305,1,124112.21,50940.36,1001,1
100024306,1,36237.51,38303.24,1001,1
100025501,1,104137.33,83235.4,1001,1
100025502,1,35413.01,24312.0,1001,1
100025503,1,55666.19,42188.15,1001,1
100025504,1,83901.62,61818.49,1001,1
100025505,1,85498.75,49162.33,1001,1
100025506,1,71845.35,40997.78,1001,1
100026701,1,58247.84,19131.28,1001,1
100026702,1,60043.63,26671.1,1001,1
100026703,1,13103.02,22275.61,1001,1
100026704,1,54562.33,45919.96,1001,1
100026705,1,66140.77,21771.49,1001,1
100026706,1,78270.45,53434.33,1001,1
100027901,1,72146.73,36550.97,1001,1
100027902,1,69358.69,34758.07,1001,1
100027903,1,42557.49,25471.93,1001,1
100027904,1,13646.73,23831.17,1001,1
100027905,1,64762.97,15689.05,1001,1
100027906,1,127737.91,63461.4,1001,1
100028001,1,203135.86,170336.77,1001,1
100028004,1,213118.84,80500.62,1001,1
100028005,1,461281.53,84588.62,1001,1
100028006,1,97826.07,91766.43,1001,1
100029202,1,48054.99,36393.12,1001,1
100029203,1,34868.67,31276.06,1001,1
100029204,1,11091.74,20390.66,1001,1
100029205,1,79925.58,38449.61,1001,1
100029206,1,56066.2,41164.99,1001,1
100030401,1,105790.26,36103.2,1001,1
100030402,1,22916.21,38615.94,1001,1
100030403,1,67983.5,23216.23,1001,1
100030404,1,66867.22,19475.55,1001,1
100030405,1,67052.78,36059.69,1001,1
100030406,1,30081.51,29494.43,1001,1
100031401,1,37222.81,33255.09,1001,1
100031403,1,72079.63,31974.4,1001,1
100031404,1,70893.91,46843.66,1001,1
100031405,1,126221.77,81261.62,1001,1
100031406,1,60295.56,42185.96,1001,1
100032501,1,90883.57,83049.44,1001,1
100032502,1,99303.38,49916.71,1001,1
100032503,1,140624.97,101597.05,1001,1
100032504,1,45418.46,18095.24,1001,1
100032505,1,292405.31,47688.14,1001,1
100032506,1,61046.59,17520.18,1001,1
100033301,1,89265.93,37403.26,1001,1
100033302,1,54981.39,37054.66,1001,1
100033303,1,114713.89,63190.31,1001,1
100033304,1,73306.6,75972.29,1001,1
100033305,1,70419.27,61476.96,1001,1
100033306,1,173469.07,62410.47,1001,1
100034601,1,60793.8,25396.99,1001,1
100034602,1,25967.2,27799.28,1001,1
100034603,1,39456.65,30850.87,1001,1
100034605,1,84049.16,37292.11,1001,1
100034606,1,41769.36,24591.37,1001,1
100035801,1,61898.31,41164.54,1001,1
100035802,1,150373.73,55857.07,1001,1
100035803,1,21408.05,18741.47,1001,1
100035804,1,213407.41,100778.67,1001,1
100035805,1,28187.28,5313.81,1001,1
100035806,1,32587.56,47305.26,1001,1
100036001,1,71353.19,117357.79,1001,1
100036002,1,39619.54,40341.71,1001,1
100036003,1,39067.31,24278.43,1001,1
100036005,1,52379.23,19181.14,1001,1
100036006,1,45274.01,21176.25,1001,1
100037303,1,47533.98,28135.42,1001,1
100037304,1,25095.16,18324.56,1001,1
100037305,1,32599.57,48863.4,1001,1
100037306,1,36926.73,32330.39,1001,1
100038501,1,62304.49,30442.42,1001,1
100038502,1,46177.67,29553.61,1001,1
100038503,1,63450.42,24601.08,1001,1
100038504,1,79044.77,61405.86,1001,1
100038505,1,54533.11,39582.95,1001,1
100038506,1,78055.4,28488.83,1001,1
100039701,1,43337.7,26360.51,1001,1
100039702,1,104763.91,71852.55,1001,1
100039703,1,43967.2,31517.91,1001,1
100039704,1,67327.84,50469.22,1001,1
100039705,1,109421.26,35806.81,1001,1
100039706,1,63221.95,59528.28,1001,1
100040901,1,30050.26,29426.47,1001,1
100040902,1,53852.1,28588.31,1001,1
100040903,1,54637.46,26513.21,1001,1
100040904,1,46840.23,49194.13,1001,1
100040905,1,49854.22,42908.56,1001,1
100040906,1,45489.12,34582.18,1001,1
100041202,1,64780.09,28026.83,1001,1
100041203,1,41488.92,26702.38,1001,1
100041204,1,33327.51,30257.62,1001,1
100041205,1,41286.23,40625.44,1001,1
100041206,1,98610.7,66955.91,1001,1
100042401,1,35393.95,19297.03,1001,1
100042402,1,125824.82,61542.19,1001,1
100042403,1,95120.08,75035.64,1001,1
100042404,1,61483.67,72257.43,1001,1
100042405,1,95438.77,52986.58,1001,1
100042406,1,78296.88,40866.57,1001,1
100043601,1,58570.19,34010.65,1001,1
100043602,1,18162.28,21636.18,1001,1
100043603,1,26449.22,20632.81,1001,1
100043604,1,49378.42,34655.84,1001,1
100043605,1,63324.97,42716.29,1001,1
100043606,1,39865.63,38646.6,1001,1
100044801,1,27147.54,22221.52,1001,1
100044802,1,457817.36,230734.68,1001,1
100044803,1,47884.06,25959.75,1001,1
100044804,1,142942.93,59645.77,1001,1
100044805,1,75948.48,38376.12,1001,1
100044806,1,96567.9,54414.5,1001,1
100045001,1,36721.21,29356.06,1001,1
100045002,1,58097.01,30558.06,1001,1
100045003,1,30096.82,6235.6,1001,1
100045004,1,112859.5,45606.28,1001,1
100045005,1,68547.0,34042.0,1001,1
100045006,1,72548.17,43111.12,1001,1
100046301,1,83654.07,51300.49,1001,1
100046302,1,45978.25,35688.73,1001,1
100046303,1,332684.4,128679.78,1001,1
100046304,1,70986.35,14691.74,1001,1
100046305,1,54701.32,35185.92,1001,1
100046306,1,55715.09,35528.42,1001,1
100047501,1,228346.53,66823.79,1001,1
100047502,1,53992.76,22513.32,1001,1
100047503,1,117285.31,35933.74,1001,1
100047504,1,86369.59,19484.43,1001,1
100047505,1,88340.08,21238.3,1001,1
100047506,1,55306.65,62585.6,1001,1
100048701,1,111934.39,118677.4,1001,1
100048702,1,283662.28,309681.69,1001,1
100048703,1,282639.34,168878.35,1001,1
100048704,1,94327.82,34094.79,1001,1
100048705,1,106622.94,180546.21,1001,1
100048706,1,140508.18,116820.59,1001,1
100049901,1,173379.04,231618.72,1001,1
100049902,1,196346.41,244011.46,1001,1
100049903,1,90261.1,49491.37,1001,1
100049904,1,58080.28,59786.76,1001,1
100049905,1,131816.35,168212.36,1001,1
100049906,1,107475.88,101005.77,1001,1
100050202,1,48148.68,34721.73,1001,1
100050203,1,85788.71,36743.92,1001,1
100050204,1,77998.64,41408.02,1001,1
100050205,1,47903.19,12075.01,1001,1
100050206,1,31393.11,35567.61,1001,1
100051401,1,75574.04,62218.4,1001,1
100051402,1,101661.76,57796.78,1001,1
100051403,1,79238.02,45267.99,1001,1
100051404,1,179561.11,61621.09,1001,1
